WKT,name,description
"POLYGON ((88.518537 22.676002, 88.5185739 22.6642338, 88.5290573 22.6587617, 88.5393023 22.6647089, 88.5393023 22.676272, 88.529034 22.68283, 88.518537 22.676002))",Sodpur- krishnapur madanpore,
"POLYGON ((88.465923 22.694849, 88.465605 22.683998, 88.476308 22.676814, 88.486926 22.683146, 88.486926 22.694418, 88.476287 22.701705, 88.465923 22.694849))",Madhyamgram-Humaipur,
"POLYGON ((88.423183 22.767333, 88.423177 22.767041, 88.423115 22.756276, 88.433881 22.749361, 88.444487 22.756118, 88.444367 22.766897, 88.433758 22.774165, 88.423183 22.767333))",Nilganj-2,
"POLYGON ((88.380726 22.695678, 88.38089 22.684434, 88.391464 22.677408, 88.402033 22.684282, 88.402097 22.695403, 88.391443 22.702299, 88.380726 22.695678))",Agarpara,
"POLYGON ((88.486926 22.694418, 88.486926 22.683146, 88.497508 22.676398, 88.507954 22.68275, 88.508091 22.694021, 88.497487 22.701289, 88.486926 22.694418))",Madhyamgram-Badu Road 2,
"POLYGON ((88.476308 22.712822, 88.476287 22.701705, 88.486926 22.694418, 88.497487 22.701289, 88.49768 22.712822, 88.486969 22.719678, 88.476308 22.712822))",Barasat-Sukanta Nagar,
"POLYGON ((88.35947 22.660025, 88.3554474 22.6631739, 88.3558882 22.6469965, 88.35947 22.648753, 88.370113 22.641767, 88.380692 22.648752, 88.38095 22.65955, 88.370028 22.666896, 88.35947 22.660025))",Dakshineswar,
"POLYGON ((88.36998 22.713641, 88.3625109 22.7163041, 88.3650457 22.6990705, 88.36998 22.702369, 88.380726 22.695678, 88.391443 22.702299, 88.391228 22.713693, 88.380543 22.720512, 88.36998 22.713641))",Sodpur ST,
"POLYGON ((88.391228 22.713693, 88.391443 22.702299, 88.402097 22.695403, 88.412723 22.70221, 88.412772 22.713218, 88.402 22.720353, 88.391228 22.713693))",Sodpur Natagarh,
"POLYGON ((88.402097 22.695423, 88.402033 22.684302, 88.412836 22.67727, 88.423158 22.684282, 88.423308 22.695463, 88.412723 22.70223, 88.402097 22.695423))",Plant-Ghola,
"POLYGON ((88.423179 22.659391, 88.423116 22.648199, 88.4338 22.641098, 88.444402 22.648204, 88.444488 22.659, 88.433886 22.666268, 88.423179 22.659391))",Khalisa kota,
"POLYGON ((88.423308 22.695463, 88.423158 22.684282, 88.433908 22.67729, 88.444444 22.684005, 88.444525 22.69519, 88.433806 22.70229, 88.423308 22.695463))",Plant Area,
"POLYGON ((88.508091 22.694021, 88.507954 22.68275, 88.518537 22.676002, 88.529034 22.68283, 88.52918 22.694057, 88.518516 22.700893, 88.508091 22.694021))",Madhyamgram-Badu road,
"POLYGON ((88.444557 22.720045, 88.434058 22.713218, 88.433816 22.70229, 88.444536 22.69519, 88.455098 22.702061, 88.455338 22.712869, 88.444557 22.720045))",Barasat-Harishnagar,
"POLYGON ((88.3807573 22.7317742, 88.3805483 22.7204972, 88.3912333 22.7136782, 88.4020053 22.7203382, 88.4021283 22.7316152, 88.3913213 22.7386452, 88.3807573 22.7317742))",Sodpur-Nandankanan,
"POLYGON ((88.3625109 22.7356511, 88.360451 22.7277984, 88.3625109 22.7163041, 88.36998 22.713641, 88.380543 22.720512, 88.380752 22.731789, 88.369985 22.738564, 88.3625109 22.7356511))",Sodpur- khardaha,
"POLYGON ((88.455338 22.712869, 88.455087 22.702061, 88.465923 22.694849, 88.476287 22.701705, 88.476308 22.712822, 88.465902 22.71974, 88.455338 22.712869))",Barasat hridaypur,
"POLYGON ((88.423238 22.731472, 88.423286 22.720353, 88.434058 22.713218, 88.444557 22.720045, 88.444643 22.730841, 88.434036 22.738108, 88.423238 22.731472))",Sodpur- manikapore,
"POLYGON ((88.518907 22.712076, 88.518516 22.700893, 88.52918 22.694057, 88.539678 22.700884, 88.539764 22.71168, 88.529159 22.718948, 88.518907 22.712076))",Barasat-Kaberpur,
"POLYGON ((88.49768 22.712822, 88.497487 22.701289, 88.508091 22.694021, 88.518516 22.700893, 88.518907 22.712076, 88.50818 22.719649, 88.49768 22.712822))",Barasat-Kajipara,
"POLYGON ((88.444643 22.730841, 88.444557 22.720045, 88.455338 22.712869, 88.465902 22.71974, 88.46581 22.730997, 88.455216 22.737673, 88.444643 22.730841))",Barasat Suryasen Pally,
"POLYGON ((88.444525 22.69519, 88.444444 22.684005, 88.455046 22.676737, 88.465605 22.683998, 88.465923 22.694849, 88.455087 22.702061, 88.444525 22.69519))",Madhyamgram-Madhyamgram,
"POLYGON ((88.5400038 22.7838737, 88.539974 22.773136, 88.550584 22.765868, 88.56126 22.77274, 88.5612926 22.7834777, 88.5506812 22.7907457, 88.5400038 22.7838737))",Duttapukur-Nebadhai,
"POLYGON ((88.518782 22.748296, 88.518695 22.7375, 88.529552 22.7298117, 88.5398737 22.7370844, 88.539995 22.748245, 88.52934 22.755547, 88.518782 22.748296))",Bamangachi-Chhota Jagulia,
"POLYGON ((88.50825 22.76674, 88.508173 22.755564, 88.518782 22.748296, 88.52934 22.755547, 88.529426 22.766343, 88.518817 22.773611, 88.50825 22.76674))",Bamangachi-Sukanta Pally,
"POLYGON ((88.391464 22.677408, 88.3914 22.66658, 88.402064 22.659708, 88.4126 22.666263, 88.412836 22.67725, 88.402033 22.684282, 88.391464 22.677408))",Khudiram Pally,
"POLYGON ((88.402064 22.659708, 88.401916 22.648516, 88.412622 22.641372, 88.423116 22.648199, 88.423179 22.659391, 88.4126 22.666263, 88.402064 22.659708))",ItKhola,
"POLYGON ((88.412836 22.67725, 88.4126 22.666263, 88.423179 22.659391, 88.433886 22.666268, 88.433908 22.67729, 88.423158 22.684282, 88.412836 22.67725))",Pratapgarh,
"POLYGON ((88.38095 22.65955, 88.380692 22.648752, 88.391422 22.641689, 88.401916 22.648516, 88.402064 22.659708, 88.3914 22.66658, 88.38095 22.65955))",Mathkol,
"POLYGON ((88.433908 22.67729, 88.433886 22.666268, 88.444488 22.658995, 88.4508401 22.6632877, 88.4516128 22.6792316, 88.444444 22.684005, 88.433908 22.67729))",Maikel Nagar,
"POLYGON ((88.370393 22.677606, 88.370028 22.666896, 88.38095 22.65955, 88.3914 22.66658, 88.391464 22.677408, 88.380929 22.68444, 88.370393 22.677606))",Milan Pally,
"POLYGON ((88.3650457 22.6990705, 88.3636724 22.6819782, 88.370393 22.677606, 88.38089 22.684434, 88.380726 22.695678, 88.36998 22.702369, 88.3650457 22.6990705))",Kamarhati,
"POLYGON ((88.550584 22.765868, 88.550498 22.755072, 88.561281 22.747849, 88.571784 22.754676, 88.5716125 22.7662634, 88.56126 22.77274, 88.550584 22.765868))",Duttapukur-Faldi,
"POLYGON ((88.391427 22.749602, 88.391316 22.73866, 88.402123 22.73163, 88.412688 22.738501, 88.412643 22.749509, 88.402 22.756434, 88.391427 22.749602))",Sodpur- Dangadihila,
"POLYGON ((88.4763561 22.748969, 88.476287 22.737712, 88.487094 22.730842, 88.497659 22.737712, 88.497608 22.748693, 88.4869301 22.755801, 88.4763561 22.748969))",Barasat-Noapara,
"POLYGON ((88.401982 22.76757, 88.402 22.756434, 88.412643 22.749509, 88.423115 22.756276, 88.423183 22.767333, 88.412557 22.774402, 88.401982 22.76757))",Nilganj-3,
"POLYGON ((88.412643 22.749509, 88.412688 22.738501, 88.423238 22.731472, 88.434036 22.738108, 88.433881 22.749361, 88.423115 22.756276, 88.412643 22.749509))",Sodpur- Balagar singerber,
"POLYGON ((88.433881 22.749361, 88.434036 22.738108, 88.444643 22.730841, 88.455216 22.737673, 88.455113 22.748969, 88.444487 22.756118, 88.433881 22.749361))",Sodpur- jagnnathpore,
"POLYGON ((88.370055 22.749761, 88.362592 22.749276, 88.3625109 22.7356511, 88.370063 22.73845, 88.380752 22.731789, 88.391316 22.73866, 88.391427 22.749602, 88.380704 22.755705, 88.370055 22.749761))",Sodpur- Titagarh,
"POLYGON ((88.348637 22.785535, 88.348645 22.774224, 88.359337 22.767563, 88.369904 22.774434, 88.370108 22.785091, 88.359214 22.792367, 88.3545759 22.7959064, 88.3449599 22.7888424, 88.348637 22.785535))",Barrackpore Airport Area,
"POLYGON ((88.508266 22.730445, 88.50818 22.719649, 88.518907 22.712076, 88.529159 22.718948, 88.529552 22.7298117, 88.518695 22.7375, 88.508266 22.730445))",Bamangachi-Bora,
"POLYGON ((88.391336 22.820945, 88.391357 22.809737, 88.402041 22.802439, 88.412608 22.809844, 88.412767 22.820615, 88.401966 22.827882, 88.391336 22.820945))",Gaurdaha,
"POLYGON ((88.380752 22.767088, 88.380704 22.755705, 88.391427 22.749602, 88.402 22.756434, 88.401982 22.76757, 88.391319 22.773959, 88.380752 22.767088))",Barrckpore,
"POLYGON ((88.370108 22.785091, 88.369904 22.774434, 88.380752 22.767088, 88.391319 22.773959, 88.39148 22.784933, 88.380629 22.791892, 88.370108 22.785091))",Barrackpore shantinagar,
"POLYGON ((88.539974 22.773136, 88.529407 22.766265, 88.52934 22.755547, 88.539995 22.748245, 88.550498 22.755072, 88.550584 22.765868, 88.539974 22.773136))",Duttapukur-Jirat,
"POLYGON ((88.359337 22.767563, 88.3453873 22.763296, 88.3583025 22.7553091, 88.362592 22.749276, 88.370055 22.749761, 88.380704 22.755705, 88.380752 22.767088, 88.369904 22.774434, 88.359337 22.767563))",Barrackpore ST,
"POLYGON ((88.3722786 22.8565029, 88.3719178 22.8511638, 88.3735311 22.8458246, 88.3779313 22.8388573, 88.380752 22.839045, 88.391272 22.845815, 88.391317 22.85655, 88.380629 22.863849, 88.3722786 22.8565029))",Bhatpara,
"POLYGON ((88.3587214 22.8056345, 88.3545759 22.7959064, 88.359214 22.792367, 88.370108 22.785091, 88.380629 22.791892, 88.380923 22.802973, 88.369986 22.809895, 88.3587214 22.8056345))",Icchapur,
"POLYGON ((88.370221 22.820945, 88.369986 22.809895, 88.380923 22.802973, 88.391357 22.809737, 88.391336 22.820945, 88.3808 22.827777, 88.3774282 22.8298893, 88.3701941 22.8271758, 88.370221 22.820945))",Noapara,
"POLYGON ((88.380923 22.802973, 88.380629 22.791892, 88.39148 22.784933, 88.402049 22.791804, 88.402041 22.802439, 88.391357 22.809737, 88.380923 22.802973))",Paltapara,
"POLYGON ((88.380752 22.839045, 88.3779313 22.8388573, 88.3774282 22.8298893, 88.3808 22.827777, 88.391336 22.820945, 88.401966 22.827882, 88.402038 22.838728, 88.391272 22.845815, 88.380752 22.839045))",Shyamnagar,
"POLYGON ((88.380629 22.863849, 88.391317 22.85655, 88.401915 22.863552, 88.401962 22.874346, 88.380629 22.863849))",Kakinara Bazar,
"POLYGON ((88.402038 22.838728, 88.401966 22.827882, 88.412767 22.820615, 88.423338 22.827486, 88.423496 22.838333, 88.412611 22.845599, 88.402038 22.838728))",Shyamnagar-2,
"POLYGON ((88.391317 22.85655, 88.391272 22.845815, 88.402038 22.838728, 88.412611 22.845619, 88.412939 22.856445, 88.401915 22.863552, 88.391317 22.85655))",Kakinara,
"POLYGON ((88.412939 22.856445, 88.412611 22.845599, 88.423496 22.838333, 88.434069 22.845204, 88.434061 22.855839, 88.423513 22.863316, 88.412939 22.856445))",Shyamnagar-3,
"POLYGON ((88.3449599 22.7888424, 88.3355185 22.7854397, 88.3319136 22.7792673, 88.333716 22.7740442, 88.3388659 22.7662883, 88.3453873 22.763296, 88.359337 22.767563, 88.348645 22.774224, 88.348637 22.785535, 88.3449599 22.7888424))",Barrackpur Cantt,
"POLYGON ((88.465602 22.65852, 88.4760537 22.6655354, 88.476308 22.676814, 88.465605 22.683998, 88.455046 22.676737, 88.4516128 22.6792316, 88.4508401 22.6632877, 88.45496 22.665941, 88.465602 22.65852))",Doharia,
"POLYGON ((88.5075207 22.6589115, 88.507464 22.647365, 88.517914 22.640538, 88.5285778 22.6476022, 88.5290573 22.6587617, 88.5186597 22.664313, 88.5075207 22.6589115))",Ramagacchi,
"POLYGON ((88.465602 22.65852, 88.465516 22.647724, 88.476393 22.640707, 88.4865 22.647409, 88.4865722 22.6589114, 88.4760537 22.6655354, 88.465602 22.65852))",Airport Palitpara,
"POLYGON ((88.497508 22.676398, 88.4971781 22.6649706, 88.5075207 22.6589115, 88.5185739 22.6642338, 88.518537 22.676002, 88.507954 22.68275, 88.497508 22.676398))",Kachua,
"POLYGON ((88.4865722 22.6589114, 88.4865 22.647409, 88.4971 22.640142, 88.507464 22.647365, 88.5075207 22.6589115, 88.4971781 22.6649706, 88.4865722 22.6589114))",Barpol,
"POLYGON ((88.3554474 22.6631739, 88.35947 22.660025, 88.370028 22.666896, 88.370393 22.677606, 88.3636724 22.6819782, 88.3554474 22.6631739))",Kamarhati Jute Mill,
"POLYGON ((88.476308 22.676814, 88.4760537 22.6655354, 88.4865722 22.6589114, 88.4971781 22.6649706, 88.497508 22.676398, 88.486926 22.683146, 88.476308 22.676814))",Birpur,
"POLYGON ((88.412772 22.713218, 88.412723 22.70223, 88.423308 22.695463, 88.433806 22.70229, 88.434058 22.713218, 88.423286 22.720353, 88.412772 22.713218))",Mohispota,
"POLYGON ((88.455216 22.737673, 88.46581 22.730997, 88.476287 22.737712, 88.4763561 22.748969, 88.465687 22.755801, 88.455113 22.748969, 88.455216 22.737673))",Barasat-Bararia,
"POLYGON ((88.487094 22.730842, 88.486969 22.719678, 88.49768 22.712822, 88.50818 22.719649, 88.508266 22.730445, 88.497659 22.737712, 88.487094 22.730842))",Barasat-Bijaynagar,
"POLYGON ((88.3558882 22.6469965, 88.3646703 22.6272683, 88.370113 22.630495, 88.370113 22.641767, 88.35947 22.648753, 88.3558882 22.6469965))",Baranagar Darjipara,
"POLYGON ((88.497608 22.748693, 88.497659 22.737712, 88.508266 22.730445, 88.518695 22.7375, 88.518782 22.748296, 88.508173 22.755564, 88.497608 22.748693))",Bamangachi-Bamangachi,
"POLYGON ((88.3701941 22.8271758, 88.3641001 22.8278878, 88.3598086 22.8261869, 88.3566328 22.8203723, 88.3583065 22.815665, 88.3587214 22.8056345, 88.369986 22.809895, 88.370221 22.820945, 88.3701941 22.8271758))",Leningar,
"POLYGON ((88.5612926 22.7834777, 88.56126 22.77274, 88.5716125 22.7662634, 88.5798604 22.773071, 88.5800321 22.7838336, 88.5707623 22.7897685, 88.5612926 22.7834777))",Chaltaberia,
"POLYGON ((88.5702474 22.8004506, 88.5707623 22.7897685, 88.5800321 22.7838336, 88.5885293 22.7885815, 88.5883576 22.801321, 88.5797746 22.8073342, 88.5702474 22.8004506))",Guma-Nabaplly,
"POLYGON ((88.5885293 22.7885815, 88.5800321 22.7838336, 88.5798604 22.773071, 88.5884435 22.7673728, 88.5979707 22.7729919, 88.5978848 22.7839919, 88.5885293 22.7885815))",Rautara Hospital Road,
"POLYGON ((88.5883576 22.801321, 88.5885293 22.7885815, 88.5978848 22.7839919, 88.6062963 22.7888189, 88.6062104 22.8012419, 88.5965116 22.8068595, 88.5883576 22.801321))",Guma-Dariasudi,
"POLYGON ((88.5964258 22.8162745, 88.5965116 22.8068595, 88.6062104 22.8012419, 88.614021 22.8060416, 88.6139351 22.8172238, 88.6046655 22.8225243, 88.5964258 22.8162745))",Guma,
"POLYGON ((88.614021 22.8060416, 88.6062104 22.8012419, 88.6062963 22.7888189, 88.6147935 22.7846777, 88.622046 22.7893859, 88.6219173 22.8014526, 88.614021 22.8060416))",Guma- Mathurapur,
"POLYGON ((88.391422 22.641689, 88.391185 22.630575, 88.401978 22.623193, 88.412321 22.629976, 88.412622 22.641372, 88.401916 22.648516, 88.391422 22.641689))",Rabindra Nagar-Durganagar,
"POLYGON ((88.6139351 22.8172238, 88.614021 22.8060416, 88.6219173 22.8014526, 88.6296869 22.8052523, 88.6296869 22.8174363, 88.6218763 22.8223412, 88.6139351 22.8172238))",Khasdelpur,
"POLYGON ((88.6046673 22.8334559, 88.6046655 22.8225243, 88.6139351 22.8172238, 88.6218763 22.8223412, 88.6218762 22.8338514, 88.6130357 22.8389139, 88.6046673 22.8334559))",Habra-Bellus Garden,
"POLYGON ((88.370113 22.641767, 88.370113 22.630495, 88.380286 22.623624, 88.391185 22.630575, 88.391422 22.641689, 88.380692 22.648752, 88.370113 22.641767))",sodpore- baranagar,
"POLYGON ((88.6218762 22.8338514, 88.6218763 22.8223412, 88.6296869 22.8174363, 88.6378408 22.822816, 88.6378408 22.8344448, 88.6296011 22.8387163, 88.6218762 22.8338514))",Habra-Sherpur,
"POLYGON ((88.412622 22.641372, 88.412321 22.629976, 88.423221 22.622876, 88.4338 22.6299, 88.4338 22.641093, 88.423116 22.648199, 88.412622 22.641372))",Rajbari-laketown,
"POLYGON ((88.6378408 22.822816, 88.6296869 22.8174363, 88.6296869 22.8052523, 88.6383558 22.8019687, 88.6460377 22.8058456, 88.6460806 22.8177132, 88.6378408 22.822816))",Hirapole,
"POLYGON ((88.6128643 22.8488408, 88.6130357 22.8389139, 88.6218762 22.8338514, 88.6296011 22.8387163, 88.6294292 22.8490781, 88.6215331 22.8537444, 88.6128643 22.8488408))",Ashoke Nagar,
"POLYGON ((88.6294292 22.8490781, 88.6296011 22.8387163, 88.6378408 22.8344448, 88.6459089 22.838835, 88.6457373 22.8493946, 88.6376692 22.8537448, 88.6294292 22.8490781))",Habra-Millennium Park,
"POLYGON ((88.6459089 22.838835, 88.6378408 22.8344448, 88.6378408 22.822816, 88.6460806 22.8177132, 88.6545778 22.822816, 88.6546637 22.8345239, 88.6459089 22.838835))",South Habra-2,
"POLYGON ((88.6457373 22.8493946, 88.6459089 22.838835, 88.6546637 22.8345239, 88.6621307 22.8384792, 88.6622166 22.848999, 88.6536337 22.8548518, 88.6457373 22.8493946))",Habra,
"POLYGON ((88.6621307 22.8384792, 88.6546637 22.8345239, 88.6545778 22.822816, 88.662409 22.8198921, 88.6694042 22.8233335, 88.6697047 22.8344481, 88.6621307 22.8384792))",South Habra-1,
"POLYGON ((88.6622166 22.848999, 88.6621307 22.8384792, 88.6697047 22.8344481, 88.6768715 22.8383637, 88.6767857 22.8485674, 88.6697476 22.8539458, 88.6622166 22.848999))",Joygachi,
"POLYGON ((88.6215966 22.8616176, 88.6215331 22.8537444, 88.6294292 22.8490781, 88.6376692 22.8537448, 88.6378186 22.8614595, 88.6300938 22.8658883, 88.6215966 22.8616176))",Kalpataru,
"POLYGON ((88.6378186 22.8614595, 88.6376692 22.8537448, 88.6457373 22.8493946, 88.6536337 22.8548518, 88.6535256 22.8614595, 88.6453717 22.8654138, 88.6378186 22.8614595))",Habra-2,
"POLYGON ((88.6535256 22.8614595, 88.6536337 22.8548518, 88.6622166 22.848999, 88.6697476 22.8539458, 88.6699192 22.8624085, 88.6611645 22.8657302, 88.6535256 22.8614595))",hatthuba,
"POLYGON ((88.402123 22.73163, 88.402 22.720353, 88.412772 22.713218, 88.423286 22.720353, 88.423238 22.731472, 88.412688 22.738501, 88.402123 22.73163))",Sodpur- iswaripur,
"POLYGON ((88.46581 22.730997, 88.465902 22.71974, 88.476308 22.712822, 88.486969 22.719678, 88.487094 22.730842, 88.476287 22.737712, 88.46581 22.730997))",Barasat-Champadali,
"POINT (88.37733 22.6415)",Prakriti Ponno,
"POINT (88.388577 22.727693)",22.727693, 88.388577,
"POINT (88.45361 22.63765)",SUNDARESWAR - S2D,
"POINT (88.388577 22.727693)",22.727693, 88.388577,
"POLYGON ((88.1266588 22.7604053, 88.116402 22.7524904, 88.116917 22.7384007, 88.1285471 22.7337698, 88.1394476 22.739311, 88.1396192 22.7534007, 88.1266588 22.7604053))",Polygon 98,
"POLYGON ((88.0132315 22.8923822, 87.9970953 22.8838423, 87.9996702 22.8623321, 88.0166647 22.8544231, 88.0352041 22.8670773, 88.0352041 22.8847912, 88.0132315 22.8923822))",Polygon 99,
